name,country,region,rank
London,United Kingdom,/guide/uk/london,0
Ibiza,Spain,/guide/es/ibiza,1
Streamland,Streamland,/guide/streamland,2
Berlin,Germany,/guide/de/berlin,3
Amsterdam,Netherlands,/guide/nl/amsterdam,4
New York,USA,/guide/us/newyork,5
Barcelona,Spain,/guide/es/barcelona,6
South + East,United Kingdom,/guide/uk/southeast,7
Paris,France,/guide/fr/paris,8
Manchester,United Kingdom,/guide/uk/manchester,9
Glasgow,United Kingdom,/guide/uk/glasgow,10
Other regions,Netherlands,/guide/nl/otherregions,11
Midlands,United Kingdom,/guide/uk/midlands,12
Croatia,Croatia,/guide/croatia,13
Belgium,Belgium,/guide/belgium,14
South,Spain,/guide/es/south,15
North,United Kingdom,/guide/uk/north,16
Los Angeles,United States,/guide/us/losangeles,17
Greece,Greece,/guide/greece,18
San Francisco,United States,/guide/us/sanfrancisco,19
